47341212847,30735.04,15113.10,0.52257,0.25433,16.71,12.92,6.82,3.23,8.56,12.96,19.26,55.99
24055617498,30816.83,15080.85,0.53002,0.26068,16.79,13.22,7.67,2.94,8.31,13.01,19.46,56.28
9604354940,25067.22,12040.75,0.50176,0.23535,14.84,11.47,6.35,3.08,8.64,13.43,20.04,54.81
6961701590,24214.53,9957.45,0.48521,0.22003,12.90,9.86,5.39,3.05,8.94,14.22,21.77,52.03
8387035266,23362.02,12816.57,0.46188,0.19791,11.06,7.97,3.69,3.49,9.83,14.97,21.60,50.11
4414771261,20363.43,7865.96,0.46565,0.20113,10.18,7.32,3.45,3.46,9.80,14.66,21.92,50.16
3898423431,22313.81,9219.16,0.48116,0.21130,12.07,9.02,4.34,3.40,9.11,13.92,21.42,52.15
3924257722,23165.63,10243.24,0.47876,0.20897,12.22,8.77,3.83,3.77,9.44,13.91,20.78,52.10
3350999728,22193.08,8883.81,0.49246,0.22351,13.36,10.11,4.93,3.30,8.85,13.83,21.02,53.00
2944327716,21047.60,9098.66,0.47483,0.20989,11.34,8.58,4.42,2.94,9.32,14.36,22.17,51.21
3048174780,22125.58,9446.64,0.47337,0.20666,11.27,8.20,3.89,3.06,9.03,14.26,21.72,51.94
3699007401,22185.88,11684.86,0.45337,0.19275,10.14,7.49,3.64,3.43,10.06,15.50,22.52,48.48
2826918111,20849.17,9590.19,0.46074,0.19503,9.75,6.80,2.80,3.33,9.62,15.09,22.28,49.67
2925307038,21202.64,10674.86,0.46088,0.19978,10.43,7.49,3.38,3.00,9.62,15.39,22.36,49.63
2009598152,18531.89,7979.41,0.37441,0.13554,7.04,4.90,2.47,4.55,12.10,17.50,23.23,42.62
2873935762,22832.39,11759.73,0.50698,0.23379,13.02,9.75,5.06,2.70,8.13,13.23,21.06,54.89
2535216428,23954.65,10733.03,0.46257,0.19664,8.55,5.93,2.49,2.80,9.24,15.47,23.30,49.19
